,Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
7130,536,male,group E,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,83,70,60
7131,537,male,group C,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,51,58,48
7133,539,male,group D,some high school,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,80,72,71
7134,540,male,group C,high school,standard,none,married,regularly,yes,0.0,private,> 10,59,55,46
7135,541,male,group E,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,90,86,80
7139,545,male,group E,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,< 5,51,50,51
7140,546,female,group B,high school,standard,completed,divorced,sometimes,yes,4.0,school_bus,> 10,78,89,91
7142,548,female,group C,some high school,standard,none,divorced,never,yes,3.0,private,5 - 10,53,65,62
7143,549,female,group D,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,56,65,69
7145,551,female,group B,master's degree,standard,none,married,sometimes,yes,1.0,private,< 5,66,63,62
7146,552,female,group C,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,63,69,65
7148,554,male,group A,high school,standard,none,married,sometimes,no,3.0,school_bus,> 10,60,56,47
7150,556,male,group C,high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,74,65,57
7152,558,female,group D,high school,standard,none,married,sometimes,yes,2.0,private,< 5,58,78,70
7156,562,male,group C,high school,standard,completed,single,sometimes,yes,1.0,school_bus,5 - 10,67,72,74
7157,563,male,group D,some high school,free/reduced,completed,married,regularly,yes,5.0,private,5 - 10,66,70,70
7159,565,male,group C,high school,free/reduced,none,married,sometimes,yes,5.0,school_bus,> 10,60,66,57
7164,570,male,group C,some college,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,51,49
7169,577,male,group D,some college,standard,completed,married,regularly,no,3.0,private,5 - 10,70,61,66
7170,578,female,group C,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,93,100,98
7171,579,male,group C,high school,standard,completed,widowed,regularly,no,3.0,private,5 - 10,59,53,50
7173,581,male,group C,associate's degree,standard,none,married,never,no,1.0,private,5 - 10,46,48,48
7174,582,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,1.0,private,5 - 10,68,83,88
7178,586,female,group E,high school,free/reduced,none,married,regularly,no,3.0,private,> 10,56,62,58
7179,587,male,group C,master's degree,standard,completed,married,regularly,no,3.0,private,> 10,76,63,69
7180,588,female,group E,high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,62,75,67
7183,591,female,group D,master's degree,standard,completed,married,sometimes,yes,4.0,private,> 10,91,100,100
7184,592,female,group D,some high school,free/reduced,completed,married,regularly,no,5.0,private,5 - 10,38,55,51
7185,594,female,group C,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,48,66,62
7186,595,male,group C,some college,standard,none,divorced,regularly,no,3.0,school_bus,> 10,84,78,78
7187,596,male,group D,some college,standard,none,single,sometimes,no,3.0,school_bus,5 - 10,88,92,90
7188,597,male,group B,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,5 - 10,85,82,83
7189,598,male,group E,master's degree,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,69,66,55
7191,600,male,group C,some college,standard,none,married,sometimes,no,3.0,private,5 - 10,71,60,57
7192,601,female,group C,some college,standard,completed,married,regularly,no,1.0,school_bus,5 - 10,51,56,58
7197,606,male,group E,master's degree,standard,completed,divorced,regularly,no,1.0,private,> 10,100,100,100
7198,607,male,group A,master's degree,free/reduced,none,married,regularly,yes,3.0,private,< 5,59,59,56
7199,608,female,group D,associate's degree,free/reduced,completed,married,sometimes,no,2.0,private,5 - 10,50,61,71
7201,610,female,group C,associate's degree,standard,completed,single,never,yes,3.0,private,5 - 10,73,83,82
7202,612,female,group C,some college,free/reduced,none,married,never,yes,4.0,private,5 - 10,44,51,54
7203,613,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,62,70,71
7204,614,female,group B,high school,free/reduced,none,married,sometimes,no,4.0,school_bus,5 - 10,63,72,68
7211,621,male,group D,some high school,standard,none,divorced,never,no,6.0,private,> 10,80,65,69
7215,625,female,group D,bachelor's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,95,100,100
7216,626,male,group B,some college,standard,completed,single,sometimes,no,1.0,school_bus,5 - 10,89,76,77
7217,627,male,group D,some high school,standard,completed,married,regularly,yes,1.0,school_bus,< 5,67,71,69
7218,628,male,group E,master's degree,standard,completed,married,sometimes,yes,2.0,private,5 - 10,72,60,67
7219,629,female,group D,some college,standard,none,married,sometimes,yes,0.0,private,5 - 10,68,66,70
7220,630,male,group E,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,84,73,77
7221,631,male,group C,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,59,49,46
7222,632,female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1.0,private,> 10,81,90,95
7227,637,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,0.0,private,5 - 10,83,86,86
7228,638,female,group B,high school,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,72,79,75
7229,639,female,group C,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,< 5,56,66,63
7230,640,female,group E,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,77,79,75
7232,642,female,group C,some college,free/reduced,none,single,regularly,no,2.0,school_bus,< 5,50,64,66
7234,644,male,group C,some high school,free/reduced,completed,married,never,yes,1.0,private,5 - 10,60,64,61
7235,645,female,group B,some college,standard,completed,divorced,sometimes,yes,2.0,school_bus,< 5,69,91,84
7236,646,male,group D,some college,free/reduced,none,single,sometimes,yes,1.0,school_bus,< 5,80,80,74
7237,648,male,group D,some high school,free/reduced,completed,divorced,regularly,yes,3.0,school_bus,5 - 10,67,64,66
7238,649,male,group D,some college,standard,none,married,regularly,yes,3.0,private,< 5,74,73,76
7240,651,female,group B,some high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,43,37,45
7242,653,female,group C,high school,standard,none,single,regularly,no,2.0,private,> 10,60,71,66
7245,657,female,group D,some college,standard,none,married,sometimes,yes,2.0,school_bus,< 5,45,53,53
7246,658,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,70,70,62
7249,661,female,group D,high school,free/reduced,none,married,never,yes,1.0,private,< 5,59,75,70
7250,662,female,group B,high school,free/reduced,none,divorced,never,yes,1.0,private,> 10,72,77,83
7251,663,male,group D,high school,standard,none,single,sometimes,yes,3.0,school_bus,< 5,79,65,67
7253,665,female,group B,some college,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,54,74,76
7254,666,female,group C,high school,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,68,65,69
7255,667,male,group D,some high school,free/reduced,none,divorced,sometimes,no,3.0,private,> 10,61,52,49
7260,672,male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,96,90,98
7263,675,male,group B,high school,free/reduced,completed,married,never,yes,2.0,private,5 - 10,35,43,33
7264,676,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,61,60,57
7265,677,male,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,87,89,88
7266,678,female,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,51,65,65
7267,679,female,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,> 10,82,80,84
7269,681,male,group C,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,55,35,42
7270,682,male,group E,some college,free/reduced,none,married,regularly,yes,4.0,private,< 5,82,82,74
7271,683,male,group D,associate's degree,standard,none,married,regularly,no,3.0,school_bus,5 - 10,59,54,56
7273,685,male,group E,some high school,standard,completed,divorced,sometimes,yes,3.0,school_bus,5 - 10,63,58,57
7274,686,male,group C,associate's degree,standard,none,married,regularly,yes,0.0,private,< 5,77,73,75
7275,687,male,group A,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,64,65,63
7276,688,female,group C,high school,free/reduced,completed,married,sometimes,yes,3.0,private,5 - 10,42,49,53
7277,689,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,4.0,school_bus,5 - 10,75,77,69
7279,691,male,group B,high school,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,62,43,58
7281,693,female,group D,associate's degree,standard,none,single,regularly,no,2.0,school_bus,> 10,88,86,92
7282,694,male,group E,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,5 - 10,90,78,78
7284,696,female,group B,master's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,80,88,95
7285,697,female,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,50,54,57
7286,698,female,group C,some college,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,48,53,51
7287,699,male,group C,some high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,73,79,73
7289,701,male,group C,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,79,76,72
7291,703,female,group C,master's degree,standard,none,married,regularly,yes,0.0,school_bus,< 5,63,73,69
7293,706,male,group C,high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,5 - 10,55,48,51
7294,707,female,group D,bachelor's degree,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,87,98,100
7295,708,female,group B,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,47,54,53
7298,712,male,group C,master's degree,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,85,83,83
7301,715,male,group D,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,5 - 10,61,47,50
7302,716,female,group E,some college,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,55,62,57
7304,718,male,group E,high school,standard,completed,single,sometimes,yes,1.0,school_bus,< 5,97,94,91
7307,721,female,group A,some high school,free/reduced,completed,married,sometimes,no,4.0,private,< 5,62,70,72
7308,722,male,group D,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,92,93,91
7309,723,male,group C,high school,free/reduced,completed,married,never,yes,2.0,school_bus,5 - 10,46,52,46
7311,725,male,group A,some high school,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,63,61,59
7312,726,male,group D,some high school,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,68,68,65
7313,727,female,group B,some high school,standard,none,divorced,regularly,yes,6.0,school_bus,> 10,81,87,78
7316,730,female,group E,associate's degree,standard,none,single,regularly,yes,1.0,school_bus,< 5,81,75,75
7318,732,female,group B,associate's degree,free/reduced,completed,single,sometimes,no,1.0,private,< 5,61,68,72
7319,733,male,group A,some college,standard,completed,divorced,regularly,yes,0.0,private,> 10,83,81,80
7321,736,female,group C,some high school,standard,none,divorced,never,yes,1.0,private,< 5,53,62,59
7322,737,female,group C,some high school,standard,none,married,regularly,yes,1.0,school_bus,> 10,43,54,53
7323,738,male,group A,associate's degree,standard,completed,single,never,yes,3.0,school_bus,5 - 10,94,98,92
7324,739,female,group B,high school,standard,none,married,never,no,3.0,private,5 - 10,83,85,79
7326,742,female,group C,master's degree,standard,completed,single,regularly,yes,0.0,private,< 5,83,93,98
7327,744,male,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,88,79,81
7330,748,male,group E,master's degree,free/reduced,none,married,sometimes,no,2.0,private,< 5,76,74,68
7331,749,female,group D,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,57,64,70
7333,752,female,group C,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,5 - 10,54,74,69
7334,753,female,group E,some high school,standard,none,divorced,regularly,no,3.0,private,5 - 10,81,97,91
7335,754,female,group C,bachelor's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,57,63,59
7336,755,female,group A,some high school,free/reduced,none,widowed,sometimes,no,3.0,private,5 - 10,51,60,50
7338,757,male,group C,associate's degree,standard,completed,married,sometimes,no,1.0,private,< 5,77,76,80
7340,759,male,group D,bachelor's degree,free/reduced,none,single,never,yes,1.0,private,5 - 10,83,78,77
7341,760,female,group B,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,61,64,56
7342,761,female,group A,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,60,61,59
7344,763,male,group B,high school,standard,none,single,never,yes,0.0,school_bus,5 - 10,65,67,62
7345,764,male,group B,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,5 - 10,58,47,50
7346,765,male,group C,high school,standard,none,married,regularly,yes,0.0,private,< 5,61,62,56
7349,768,female,group E,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,83,78,76
7350,769,female,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,33,43,45
7351,770,female,group C,bachelor's degree,standard,none,single,sometimes,yes,3.0,private,< 5,43,54,52
7353,772,female,group D,some high school,standard,none,married,regularly,yes,4.0,private,5 - 10,65,71,75
7354,773,male,group E,some college,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,73,75,70
7356,775,male,group D,bachelor's degree,free/reduced,none,married,regularly,no,3.0,school_bus,5 - 10,88,77,71
7358,777,female,group E,some high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,> 10,50,63,59
7360,779,female,group D,high school,standard,none,single,sometimes,yes,1.0,private,< 5,63,54,59
7361,780,male,group C,high school,free/reduced,completed,married,sometimes,yes,1.0,private,5 - 10,51,53,56
7362,781,male,group E,some college,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,< 5,68,65,61
7363,782,male,group D,some college,standard,none,married,never,yes,0.0,school_bus,> 10,70,60,55
7364,783,female,group E,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,71,74
7367,786,female,group C,some college,standard,none,married,sometimes,yes,4.0,school_bus,> 10,46,60,58
7369,788,female,group B,bachelor's degree,free/reduced,none,single,regularly,no,5.0,school_bus,> 10,79,83,81
7370,789,female,group B,bachelor's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,73,87,95
7371,790,male,group A,high school,free/reduced,completed,married,regularly,yes,0.0,private,5 - 10,52,57,52
7372,791,female,group C,high school,standard,completed,single,never,no,1.0,school_bus,5 - 10,46,70,64
7374,793,male,group C,high school,standard,none,married,never,no,2.0,private,< 5,47,46,42
7375,794,male,group C,associate's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,51,49,47
7376,795,female,group D,high school,standard,completed,married,sometimes,yes,0.0,school_bus,< 5,52,75,68
7380,799,female,group C,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,76,92,94
7383,802,female,group B,associate's degree,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,77,90,99
7385,804,female,group B,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,78,80,82
7386,805,male,group B,associate's degree,standard,completed,married,regularly,no,1.0,private,5 - 10,70,72,71
7387,806,female,group B,some high school,standard,none,married,never,no,6.0,private,5 - 10,72,76,73
7389,809,female,group E,high school,standard,none,single,regularly,no,1.0,private,> 10,83,95,86
7391,811,male,group B,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,68,62,60
7393,813,male,group A,some college,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,49,52,42
7394,815,female,group B,some high school,standard,none,single,regularly,yes,1.0,private,5 - 10,54,63,66
7395,816,male,group E,some college,free/reduced,none,married,sometimes,yes,1.0,private,< 5,70,71,67
7398,819,female,group D,some high school,standard,none,married,regularly,yes,0.0,private,> 10,74,78,78
7399,820,female,group C,high school,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,71,81,76
7400,821,male,group D,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,74,70,66
7401,823,female,group D,high school,standard,none,married,sometimes,yes,2.0,school_bus,> 10,62,83,79
7402,824,female,group D,some high school,standard,completed,single,regularly,yes,1.0,school_bus,5 - 10,85,89,98
7404,826,male,group B,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,73,74,67
7406,830,female,group D,master's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,73,77,79
7407,831,male,group C,some high school,standard,completed,married,sometimes,yes,2.0,private,< 5,54,56,54
7408,833,male,group A,associate's degree,standard,none,married,regularly,yes,3.0,private,5 - 10,65,58,58
7409,835,female,group B,high school,standard,none,divorced,sometimes,no,3.0,private,5 - 10,62,65,64
7410,837,female,group D,some high school,standard,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,89,100,100
7412,839,female,group D,associate's degree,standard,none,married,sometimes,yes,4.0,private,< 5,49,57,57
7413,840,male,group D,master's degree,standard,completed,single,sometimes,yes,3.0,school_bus,5 - 10,80,81,88
7414,841,male,group A,some high school,standard,completed,single,regularly,yes,2.0,school_bus,< 5,71,72,76
7416,843,male,group E,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,93,97,92
7417,844,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,52,61,63
7421,849,female,group C,some college,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,53,53,57
7422,850,male,group D,some high school,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,79,75,73
7423,851,male,group C,some high school,free/reduced,completed,married,regularly,yes,0.0,private,5 - 10,18,33,31
7426,854,female,group B,some college,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,67,77,78
7429,858,male,group B,some college,standard,none,divorced,sometimes,yes,0.0,private,> 10,88,88,79
7430,859,female,group D,some high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,43,63,62
7431,860,female,group C,associate's degree,standard,none,married,never,no,4.0,private,< 5,83,89,86
7432,861,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,> 10,47,50,51
7436,865,male,group E,bachelor's degree,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,69,59,60
7438,867,male,group D,associate's degree,standard,completed,divorced,sometimes,yes,2.0,school_bus,< 5,83,68,76
7439,868,male,group D,high school,standard,none,single,sometimes,yes,4.0,school_bus,> 10,76,59,58
7440,869,female,group C,high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,18,30,35
7441,870,female,group B,high school,standard,completed,married,sometimes,yes,0.0,school_bus,> 10,83,79,79
7442,871,male,group B,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,67,56,49
7443,874,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,94,100,100
7444,875,female,group D,bachelor's degree,standard,completed,married,regularly,no,3.0,private,< 5,67,83,85
7445,876,male,group B,associate's degree,free/reduced,completed,married,never,no,3.0,school_bus,5 - 10,62,62,56
7446,877,male,group D,master's degree,free/reduced,completed,divorced,regularly,no,2.0,school_bus,5 - 10,62,69,70
7447,878,female,group C,some high school,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,81,75,77
7448,879,male,group B,associate's degree,standard,completed,single,sometimes,no,5.0,school_bus,5 - 10,84,85,88
7449,880,male,group E,some college,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,61,62
7450,881,female,group B,high school,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,39,53,48
7453,884,female,group D,some high school,free/reduced,completed,married,regularly,no,3.0,school_bus,5 - 10,54,69,69
7455,886,male,group B,associate's degree,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,81,78,84
7456,887,male,group D,high school,free/reduced,none,single,sometimes,yes,6.0,private,> 10,48,39,35
7457,888,male,group C,high school,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,59,55,52
7458,889,male,group E,bachelor's degree,standard,none,married,never,yes,4.0,private,< 5,72,59,61
7459,890,male,group D,some college,standard,completed,widowed,sometimes,yes,0.0,school_bus,< 5,97,92,92
7460,891,male,group C,some high school,standard,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,73,68,60
7462,893,female,group C,associate's degree,standard,none,single,sometimes,no,3.0,private,< 5,60,69,72
7464,896,male,group E,associate's degree,standard,none,single,sometimes,no,3.0,school_bus,< 5,71,66,56
7467,899,male,group C,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,77,78,76
7469,901,male,group C,some college,standard,none,married,regularly,yes,3.0,school_bus,> 10,83,82,81
7470,902,female,group C,associate's degree,standard,completed,divorced,sometimes,yes,4.0,private,< 5,95,98,98
7471,903,female,group C,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,> 10,92,94,94
7473,905,male,group C,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,69,70,61
7475,907,male,group E,some college,standard,none,married,sometimes,yes,1.0,private,> 10,80,69,67
7476,908,female,group D,associate's degree,free/reduced,none,married,sometimes,no,1.0,school_bus,< 5,50,50,56
7477,909,male,group B,some college,free/reduced,completed,married,regularly,yes,0.0,school_bus,5 - 10,57,61,66
7479,911,male,group D,associate's degree,standard,none,married,never,no,1.0,private,> 10,85,80,78
7480,912,female,group C,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,53,65,61
7483,917,male,group E,bachelor's degree,standard,completed,married,regularly,no,1.0,private,< 5,85,78,84
7484,918,female,group C,some college,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,79,96,97
7485,919,male,group C,some high school,free/reduced,completed,married,regularly,no,3.0,private,< 5,60,73,61
7487,921,male,group D,master's degree,standard,none,married,regularly,no,3.0,school_bus,> 10,77,74,71
7488,922,female,group C,some college,free/reduced,none,single,regularly,no,4.0,private,< 5,49,59,59
7491,925,male,group D,master's degree,standard,completed,single,sometimes,no,1.0,private,< 5,72,88,89
7492,926,female,group D,some high school,standard,completed,married,sometimes,no,4.0,school_bus,< 5,74,83,86
7493,927,male,group C,high school,standard,completed,married,sometimes,yes,2.0,school_bus,> 10,46,43,37
7494,928,female,group B,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,81,90,89
7496,930,female,group D,high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,5 - 10,41,48,52
7497,931,female,group B,bachelor's degree,free/reduced,completed,divorced,sometimes,no,4.0,school_bus,< 5,63,63,68
7499,933,female,group E,master's degree,free/reduced,none,married,regularly,no,2.0,private,5 - 10,80,86,88
7501,935,male,group A,high school,standard,none,single,regularly,no,4.0,school_bus,5 - 10,33,30,25
7503,937,female,group E,high school,standard,none,single,sometimes,yes,0.0,school_bus,< 5,76,77,70
7505,939,male,group D,high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,57,57,57
7506,940,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,school_bus,< 5,68,83,78
7508,942,female,group D,some high school,free/reduced,none,divorced,regularly,yes,2.0,school_bus,< 5,62,71,72
7510,944,female,group C,high school,standard,none,married,regularly,no,5.0,school_bus,> 10,72,75,66
7513,947,male,group B,high school,standard,none,married,never,no,3.0,school_bus,5 - 10,66,65,63
7514,948,female,group A,high school,standard,none,married,sometimes,yes,3.0,school_bus,> 10,74,81,77
7516,950,male,group E,associate's degree,standard,none,married,never,yes,3.0,private,5 - 10,64,56,52
7517,951,female,group B,some college,free/reduced,completed,single,regularly,yes,4.0,private,5 - 10,49,59,58
7518,952,female,group E,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,49,65,55
7519,953,female,group C,master's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,< 5,43,44,52
7520,954,male,group E,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,71,55,51
7522,956,male,group B,some college,standard,none,single,sometimes,yes,1.0,private,5 - 10,79,65,66
7525,959,female,group D,some college,standard,none,married,sometimes,no,3.0,school_bus,< 5,61,72,69
7528,962,male,group E,high school,free/reduced,completed,married,never,no,3.0,school_bus,5 - 10,68,76,71
7529,963,female,group E,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,72,76,75
7530,964,female,group C,associate's degree,free/reduced,none,single,never,yes,3.0,school_bus,> 10,42,50,49
7531,965,male,group B,some high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,> 10,76,80,76
7532,966,male,group D,some college,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,74,69,65
7533,967,male,group C,associate's degree,standard,none,married,regularly,yes,2.0,private,< 5,47,40,40
7536,971,female,group D,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,73,75,81
7539,974,male,group C,associate's degree,free/reduced,none,single,regularly,yes,3.0,private,< 5,74,71,70
7540,975,male,group D,some high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,49,48,44
7543,979,male,group D,some high school,standard,completed,single,regularly,yes,5.0,private,5 - 10,84,82,76
7544,980,male,group A,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,70,63,59
7546,983,male,group C,bachelor's degree,free/reduced,none,single,regularly,no,3.0,private,< 5,51,49,48
7548,985,male,group D,high school,free/reduced,none,single,never,no,1.0,private,5 - 10,41,45,39
7549,986,female,group D,some college,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,40,45,47
7552,989,male,group D,some college,free/reduced,none,divorced,regularly,yes,2.0,school_bus,5 - 10,52,60,56
7553,990,female,group C,bachelor's degree,free/reduced,none,married,regularly,no,3.0,private,5 - 10,11,24,18
7554,991,female,group E,some high school,standard,completed,married,regularly,no,3.0,private,< 5,84,86,86
7556,993,female,group B,associate's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,82,87,82
7558,995,male,group C,associate's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,77,79,79
7559,996,female,group D,some college,free/reduced,none,single,sometimes,no,2.0,school_bus,< 5,32,36,37
7562,999,female,group A,high school,standard,none,married,sometimes,no,4.0,school_bus,5 - 10,43,47,39
7563,0,female,group B,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,5 - 10,49,68,66
7565,2,female,group C,some college,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,72,68,68
7566,3,female,group B,associate's degree,standard,completed,single,regularly,no,1.0,private,5 - 10,51,64,64
7572,10,female,group C,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,47,46,49
7575,14,female,group C,some college,free/reduced,none,married,never,yes,3.0,private,5 - 10,55,76,66
7576,15,female,group C,some college,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,71,81,80
7579,18,female,group B,some college,standard,none,married,regularly,no,4.0,private,> 10,63,72,73
7580,19,female,group C,master's degree,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,44,66,63
7581,20,female,group B,some high school,standard,none,divorced,sometimes,yes,2.0,school_bus,< 5,49,61,51
7582,21,female,group B,some college,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,76,79,83
7585,25,female,group E,high school,standard,none,single,sometimes,yes,0.0,private,< 5,64,77,68
7586,26,male,group E,associate's degree,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,5 - 10,71,77,69
7587,27,male,group D,some high school,free/reduced,none,single,regularly,yes,0.0,private,5 - 10,58,57,46
7589,29,male,group C,some college,free/reduced,none,divorced,sometimes,yes,0.0,school_bus,< 5,43,44,43
7592,33,female,group D,some high school,free/reduced,completed,single,never,yes,2.0,private,5 - 10,60,84,85
7593,34,female,group C,some high school,standard,completed,married,regularly,yes,0.0,private,> 10,57,58,67
7594,35,male,group B,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,78,81,77
7597,38,male,group C,high school,free/reduced,none,single,regularly,yes,3.0,school_bus,5 - 10,57,49,39
7599,41,male,group D,associate's degree,standard,none,married,never,no,3.0,private,> 10,94,87,87
